;symbol;id;orderId;orderListId;price;qty;quoteQty;commission;commissionAsset;time;isBuyer;isMaker;isBestMatch;datetime
0;BTCBUSD;187834150.0;2652739375.0;-1.0;32729.54;0.000307;10.04796878;3.1e-07;BTC;1623159714438.0;True;False;True;2021-06-08 13:41:54.438000128
1;BTCBUSD;188076899.0;2653055567.0;-1.0;33336.37;0.000306;10.20092922;0.0;BUSD;1623184924985.0;False;True;True;2021-06-08 20:42:04.984999936
